index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
279,671996,20170825,90.0,g,DES survey hex -162-481 tiling 8,0.901
280,691263,20171026,90.0,g,DES survey hex 183-491 tiling 8,0.903
281,694235,20171108,90.0,g,DES survey hex -59-592 tiling 9,0.904
282,681672,20170925,90.0,g,DES survey hex 355-65 tiling 8,0.904
283,672423,20170826,90.0,g,DES survey hex 228-4 tiling 8,0.904
284,686465,20171012,90.0,g,DES survey hex -182-653 tiling 9,0.904
285,689835,20171021,90.0,g,DES survey hex 372-542 tiling 8,0.906
286,672418,20170826,90.0,g,DES survey hex 212+47 tiling 8,0.906
287,692074,20171028,90.0,g,DES survey hex 404-14 tiling 8,0.907
288,669993,20170820,90.0,g,DES survey hex -92-471 tiling 8,0.907
289,681580,20170925,90.0,g,DES survey hex -125-572 tiling 9,0.907
290,692074,20171028,90.0,g,DES survey hex 404-14 tiling 8,0.907
291,681659,20170925,90.0,g,DES survey hex 269-207 tiling 8,0.91
292,669990,20170820,90.0,g,DES survey hex -114-481 tiling 8,0.914
293,678775,20170917,90.0,g,DES survey hex -531-542 tiling 8,0.914
294,691259,20171026,90.0,g,DES survey hex 206-481 tiling 8,0.915
295,672784,20170827,90.0,g,DES survey hex 148+6 tiling 8,0.915
296,681623,20170925,90.0,g,DES survey hex 46-430 tiling 9,0.915
297,691248,20171026,90.0,g,DES survey hex 110-481 tiling 8,0.915
298,693598,20171106,90.0,g,DES survey hex -50-450 tiling 9,0.915
299,689644,20171021,90.0,g,DES survey hex -203+6 tiling 9,0.916
300,686432,20171012,90.0,g,DES survey hex -374-430 tiling 8,0.916
301,682175,20170926,90.0,g,DES survey hex 284-623 tiling 7,0.917
302,672393,20170826,90.0,g,DES survey hex 212-34 tiling 8,0.917
303,689249,20171020,90.0,g,DES survey hex -331-14 tiling 8,0.918
304,682064,20170926,90.0,g,DES survey hex 116-14 tiling 9,0.919
305,672763,20170827,90.0,g,DES survey hex 180-55 tiling 8,0.92
306,672763,20170827,90.0,g,DES survey hex 180-55 tiling 8,0.92
307,672808,20170827,90.0,g,DES survey hex 212+6 tiling 9,0.921
308,692072,20171028,90.0,g,DES survey hex 387-24 tiling 8,0.921
309,680837,20170923,90.0,g,DES survey hex 148-34 tiling 9,0.922
310,681701,20170925,90.0,g,DES survey hex 60-288 tiling 8,0.922
311,681712,20170925,90.0,g,DES survey hex 133-288 tiling 8,0.922
312,672799,20170827,90.0,g,DES survey hex 212+26 tiling 9,0.923
313,680821,20170923,90.0,g,DES survey hex 79-552 tiling 8,0.924
314,677223,20170913,90.0,g,DES survey hex -456-491 tiling 7,0.924
315,680821,20170923,90.0,g,DES survey hex 79-552 tiling 8,0.924
316,682051,20170926,90.0,g,DES survey hex 100+16 tiling 8,0.927
317,681598,20170925,90.0,g,DES survey hex 56-521 tiling 8,0.927
318,689057,20171019,90.0,g,DES survey hex 396-318 tiling 8,0.928
319,678757,20170917,90.0,g,DES survey hex -535-603 tiling 7,0.928
320,681690,20170925,90.0,g,DES survey hex 100-643 tiling 9,0.929
321,680731,20170923,90.0,g,DES survey hex -309-592 tiling 8,0.929
322,692106,20171028,90.0,g,DES survey hex 484-105 tiling 8,0.929
323,689805,20171021,90.0,g,DES survey hex 200-440 tiling 8,0.932
324,689015,20171019,90.0,g,DES survey hex 151-298 tiling 8,0.932
325,678756,20170917,90.0,g,DES survey hex -503-613 tiling 7,0.934
326,691213,20171026,90.0,g,DES survey hex 34-623 tiling 9,0.934
327,672413,20170826,90.0,g,DES survey hex 260+37 tiling 9,0.934
328,681604,20170925,90.0,g,DES survey hex 85-491 tiling 8,0.934
329,672003,20170825,90.0,g,DES survey hex -88-491 tiling 8,0.935
330,694237,20171108,90.0,g,DES survey hex -73-552 tiling 9,0.938
331,692077,20171028,90.0,g,DES survey hex 435+6 tiling 8,0.939
332,686417,20171012,90.0,g,DES survey hex -254-633 tiling 8,0.94
333,677272,20170913,90.0,g,DES survey hex -325-633 tiling 7,0.941
334,677272,20170913,90.0,g,DES survey hex -325-633 tiling 7,0.941
335,668647,20170817,90.0,g,DES survey hex 20-14 tiling 7,0.942
336,672421,20170826,90.0,g,DES survey hex 212+6 tiling 8,0.945
337,672426,20170826,90.0,g,DES survey hex 228+16 tiling 9,0.946
338,681715,20170925,90.0,g,DES survey hex 151-278 tiling 8,0.946
339,668710,20170817,90.0,g,DES survey hex 209-501 tiling 6,0.947
340,670444,20170821,90.0,g,DES survey hex 196+16 tiling 8,0.947
